url,Number of Dots,Subdomain Level,Path Level,URL length,Number of dash symbol,Number of AtSymbol,Number of Tilde Symbol,Number of Underscores,Number of dollar symbol,Number of colon symbol,Number of Percent symbols,Query count,Numerical character count,presence of HTTPS,IP in hostname,suffix(tld) in subdomain,HTTPS in Hostname,Hostname length,query length,Double Slash in Path,Avg wordlength in Hostname,Atsymbols in Hostname,Numerical Characters in Hostname,Number of SensitiveWords in URL,url entropy,Number of SensitiveWords in HTML,Number of Hyperlinks,External Hyperlinks percent,External ResourceURLs percent,Ext Favicon,Insecure Forms,RelativeFormAction,external formaction,Percentage of NullSelfRedirectHyperlinks,Fake Link In StatusBar,popup window,Right Click Disabled,Title is missing,Iframe Or Frame present,src_eval_cnt,src_escape_cnt,src_exec_cnt,src_search_cnt,Most Common Link Domain in External,Common Resource Domain in External,Ratio of Common Domain in Webpage,Ratio of Common Domain in Footer,Ratio of Null Links,Ratio of Null Links in Footer,Ratio of Null links present in body-tag,label
https://www.opensea.io.offer.automotrizcos.cl//phrs/,5,4,3,52,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,5.333333333,0,0,0,4.089889603,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://shirza.com/zy/webmail/,1,0,3,29,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,4.5,0,0,0,4.043855462,12,1,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
https://posthilfe-kundenservice-brokerage-lmorphine9696402392.codeanyapp.com/PM/DnBg88qkbNT9838/,2,1,3,96,3,0,0,0,0,1,0,0,16,0,0,0,0,68,0,0,22,0,10,0,5.017486856,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://transaction-access-online.com/Login.php,2,0,1,46,2,0,0,0,0,1,0,0,0,1,0,0,0,29,0,0,14,0,0,0,4.058690696,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://btconnect-253671.webflow.io/,2,1,1,36,1,0,0,0,0,1,0,0,6,0,0,0,0,27,0,0,8.333333333,0,6,0,4.350209029,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
https://fantasyislandbrewingcompany.com/doc/adobe%202023/,1,0,3,57,0,0,0,0,0,1,1,0,6,0,0,0,0,31,0,0,15,0,0,0,4.482123024,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://hjguvxdhjdcftrf.square.site/,2,1,1,36,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,8.333333333,0,0,0,4.162573265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
https://store-steanpowered.com/giftcard-76561197960277883,1,0,1,57,2,0,0,0,0,1,0,0,17,0,0,0,0,22,0,0,10.5,0,0,0,4.650713207,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://ondrive.zswz.workers.dev/?sso_reload=true,3,2,1,49,0,0,0,1,0,1,0,1,0,0,0,0,0,24,15,0,5.25,0,0,0,4.230047162,1,2,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,1,1
http://private-pictures.com/,1,0,1,28,1,0,0,0,0,1,0,0,0,1,0,0,0,20,0,0,9.5,0,0,0,3.896291529,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
